step,epoch,train_loss,val_loss,learning_rate,gpu_memory_gb,elapsed_sec,timestamp
10,1,1.109875,,1.3333333333333334e-06,83.2,149.0,2026-03-18 23:04:30
20,1,0.990991,,2.666666666666667e-06,83.2,296.5,2026-03-18 23:06:57
30,1,0.726341,,4.000000000000001e-06,83.2,444.1,2026-03-18 23:09:25
40,1,0.569189,,5.333333333333334e-06,83.2,591.7,2026-03-18 23:11:52
50,1,0.488904,,6.666666666666667e-06,83.2,739.2,2026-03-18 23:14:20
60,1,0.458197,,8.000000000000001e-06,83.2,886.9,2026-03-18 23:16:47
70,1,0.442514,,9.333333333333334e-06,83.2,1034.4,2026-03-18 23:19:15
80,1,0.42945,,9.999700030487352e-06,83.2,1182.0,2026-03-18 23:21:42
90,1,0.417203,,9.99730049033793e-06,83.2,1329.9,2026-03-18 23:24:10
100,1,0.409401,,9.992502561666768e-06,83.2,1477.6,2026-03-18 23:26:38
110,1,0.409424,,9.985308547176507e-06,83.2,1625.5,2026-03-18 23:29:06
120,1,0.40864,,9.975721899539607e-06,83.2,1773.1,2026-03-18 23:31:34
130,1,0.40455,,9.963747219741283e-06,83.2,1920.6,2026-03-18 23:34:01
140,1,0.400184,,9.94939025487131e-06,83.2,2068.3,2026-03-18 23:36:29
150,1,0.396947,,9.9326578953658e-06,83.2,2215.9,2026-03-18 23:38:56
160,1,0.390939,,9.91355817170022e-06,83.2,2363.5,2026-03-18 23:41:24
170,1,0.385839,,9.892100250535271e-06,83.2,2511.2,2026-03-18 23:43:52
180,1,0.387766,,9.868294430317464e-06,83.2,2658.8,2026-03-18 23:46:19
190,1,0.383416,,9.842152136336528e-06,83.2,2806.6,2026-03-18 23:48:47
200,1,0.380831,,9.813685915241991e-06,83.2,2954.2,2026-03-18 23:51:15
210,1,0.37822,,9.782909429021568e-06,83.2,3101.8,2026-03-18 23:53:42
220,1,0.37365,,9.749837448444286e-06,83.2,3249.6,2026-03-18 23:56:10
230,1,0.382502,,9.71448584597144e-06,83.2,3397.2,2026-03-18 23:58:38
240,1,0.370831,,9.676871588138812e-06,83.2,3544.8,2026-03-19 00:01:05
250,1,0.373374,,9.637012727413813e-06,83.2,3692.7,2026-03-19 00:03:33
250,1,,0.375984,,83.2,3733.6,2026-03-19 00:04:14
260,1,0.372237,,9.594928393531435e-06,83.2,3919.8,2026-03-19 00:07:20
270,1,0.373331,,9.550638784313187e-06,83.2,4067.7,2026-03-19 00:09:48
280,1,0.371441,,9.504165155973413e-06,83.2,4215.5,2026-03-19 00:12:16
290,1,0.359044,,9.455529812917666e-06,83.2,4363.3,2026-03-19 00:14:44
300,1,0.370931,,9.40475609703798e-06,83.2,4511.1,2026-03-19 00:17:12
310,1,0.370751,,9.351868376510255e-06,83.2,4659.1,2026-03-19 00:19:40
320,1,0.360157,,9.29689203409907e-06,83.2,4807.0,2026-03-19 00:22:08
330,1,0.360005,,9.239853454975548e-06,83.2,4954.7,2026-03-19 00:24:35
340,1,0.365602,,9.18078001405415e-06,83.2,5102.5,2026-03-19 00:27:03
350,1,0.380019,,9.119700062854451e-06,83.2,5250.0,2026-03-19 00:29:31
360,1,0.366239,,9.056642915894182e-06,83.2,5397.5,2026-03-19 00:31:58
370,1,0.365559,,8.991638836620139e-06,83.2,5545.0,2026-03-19 00:34:26
380,1,0.3601,,8.924719022883616e-06,83.2,5692.5,2026-03-19 00:36:53
390,1,0.366641,,8.85591559196743e-06,83.2,5840.0,2026-03-19 00:39:20
400,1,0.359664,,8.785261565171635e-06,83.2,5987.4,2026-03-19 00:41:48
410,1,0.361926,,8.712790851965396e-06,83.2,6135.0,2026-03-19 00:44:16
420,1,0.360606,,8.638538233712581e-06,83.2,6282.5,2026-03-19 00:46:43
430,1,0.354939,,8.562539346978908e-06,83.2,6429.9,2026-03-19 00:49:10
440,1,0.353194,,8.484830666428639e-06,83.2,6577.7,2026-03-19 00:51:38
450,1,0.347885,,8.405449487319049e-06,83.2,6725.2,2026-03-19 00:54:06
460,1,0.346943,,8.32443390760106e-06,83.2,6872.7,2026-03-19 00:56:33
470,1,0.345094,,8.241822809634628e-06,83.2,7020.3,2026-03-19 00:59:01
480,1,0.346875,,8.15765584152767e-06,83.2,7167.9,2026-03-19 01:01:28
490,1,0.346115,,8.071973398107475e-06,83.2,7315.4,2026-03-19 01:03:56
500,1,0.3529,,7.98481660153374e-06,83.2,7463.0,2026-03-19 01:06:24
500,1,,0.353551,,83.2,7503.9,2026-03-19 01:07:04
510,2,0.352779,,7.89622728156253e-06,83.2,7712.0,2026-03-19 01:10:32
520,2,0.348236,,7.806247955470636e-06,83.2,7859.4,2026-03-19 01:13:00
530,2,0.335842,,7.714921807649976e-06,83.2,8007.1,2026-03-19 01:15:28
540,2,0.339407,,7.622292668881805e-06,83.2,8154.7,2026-03-19 01:17:55
550,2,0.348037,,7.528404995300717e-06,83.2,8302.3,2026-03-19 01:20:23
560,2,0.337123,,7.433303847058506e-06,83.2,8450.1,2026-03-19 01:22:51
570,2,0.335542,,7.337034866698138e-06,83.2,8597.7,2026-03-19 01:25:18
580,2,0.348296,,7.239644257248217e-06,83.2,8745.5,2026-03-19 01:27:46
590,2,0.338966,,7.141178760048448e-06,83.2,8893.1,2026-03-19 01:30:14
600,2,0.351347,,7.041685632316748e-06,83.2,9040.7,2026-03-19 01:32:41
610,2,0.355182,,6.94121262446877e-06,83.2,9188.4,2026-03-19 01:35:09
620,2,0.343271,,6.839807957200711e-06,83.2,9335.9,2026-03-19 01:37:36
630,2,0.33626,,6.737520298346438e-06,83.2,9483.4,2026-03-19 01:40:04
640,2,0.337005,,6.634398739519989e-06,83.2,9631.1,2026-03-19 01:42:32
650,2,0.346742,,6.530492772554704e-06,83.2,9778.6,2026-03-19 01:44:59
660,2,0.341166,,6.425852265750282e-06,83.2,9926.2,2026-03-19 01:47:27
670,2,0.341467,,6.32052743993913e-06,83.2,10073.8,2026-03-19 01:49:54
680,2,0.339912,,6.214568844383547e-06,83.2,10221.4,2026-03-19 01:52:22
690,2,0.337932,,6.108027332515276e-06,83.2,10368.9,2026-03-19 01:54:49
700,2,0.337536,,6.000954037529054e-06,83.2,10516.4,2026-03-19 01:57:17
710,2,0.335085,,5.8934003478419235e-06,83.2,10663.8,2026-03-19 01:59:44
720,2,0.337774,,5.785417882430035e-06,83.2,10811.2,2026-03-19 02:02:12
730,2,0.334075,,5.677058466054793e-06,83.2,10958.5,2026-03-19 02:04:39
740,2,0.345704,,5.568374104390256e-06,83.2,11106.0,2026-03-19 02:07:06
750,2,0.339998,,5.459416959063688e-06,83.2,11253.4,2026-03-19 02:09:34
750,2,,0.343974,,83.2,11293.9,2026-03-19 02:10:14
760,2,0.327682,,5.350239322621276e-06,83.2,11496.5,2026-03-19 02:13:37
770,2,0.334986,,5.240893593431018e-06,83.2,11644.0,2026-03-19 02:16:05
780,2,0.33564,,5.131432250534809e-06,83.2,11791.4,2026-03-19 02:18:32
790,2,0.343726,,5.0219078284618135e-06,83.2,11939.0,2026-03-19 02:20:59
800,2,0.337299,,4.9123728920152255e-06,83.2,12086.4,2026-03-19 02:23:27
810,2,0.33389,,4.802880011044467e-06,83.2,12233.8,2026-03-19 02:25:54
820,2,0.338142,,4.69348173521499e-06,83.2,12381.3,2026-03-19 02:28:22
830,2,0.330583,,4.584230568787758e-06,83.2,12528.6,2026-03-19 02:30:49
840,2,0.335859,,4.4751789454205105e-06,83.2,12676.0,2026-03-19 02:33:17
850,2,0.340096,,4.366379203002928e-06,83.2,12823.6,2026-03-19 02:35:44
860,2,0.33873,,4.257883558537751e-06,83.2,12971.0,2026-03-19 02:38:11
870,2,0.334092,,4.1497440830799084e-06,83.2,13118.4,2026-03-19 02:40:39
880,2,0.33517,,4.04201267674571e-06,83.2,13265.8,2026-03-19 02:43:06
890,2,0.335935,,3.93474104380407e-06,83.2,13413.2,2026-03-19 02:45:34
900,2,0.334394,,3.827980667861716e-06,83.2,13560.7,2026-03-19 02:48:01
910,2,0.333966,,3.721782787154319e-06,83.2,13708.0,2026-03-19 02:50:29
920,2,0.347481,,3.616198369955373e-06,83.2,13855.4,2026-03-19 02:52:56
930,2,0.334373,,3.5112780901146426e-06,83.2,14002.9,2026-03-19 02:55:23
940,2,0.3342,,3.407072302737921e-06,83.2,14150.2,2026-03-19 02:57:51
950,2,0.334258,,3.3036310200197595e-06,83.2,14297.7,2026-03-19 03:00:18
